Transaction_ID,Household_ID,Merchant_ID,Transaction_Date_Time,Voucher_Code,Denomination_Used,Amount_Redeemed,Payment_Status,Remarks
TX00001,H0012,M003,20260205023455,V02-0001-H0012,$2.00,$6.00,Completed,1
TX00001,H0012,M003,20260205023455,V02-0002-H0012,$2.00,$6.00,Completed,2
TX00001,H0012,M003,20260205023455,V02-0003-H0012,$2.00,$6.00,Completed,Final
TX00002,H0012,M002,20260205024118,V02-0004-H0012,$2.00,$6.00,Completed,1
TX00002,H0012,M002,20260205024118,V02-0005-H0012,$2.00,$6.00,Completed,2
TX00002,H0012,M002,20260205024118,V02-0006-H0012,$2.00,$6.00,Completed,Final
TX00003,H0012,M001,20260205025257,V02-0007-H0012,$2.00,$2.00,Completed,Final
TX00004,H0001,M001,20260205165731,V02-0019-H0001,$2.00,$4.00,Completed,1
TX00004,H0001,M001,20260205165731,V02-0020-H0001,$2.00,$4.00,Completed,Final
TX00005,H0002,M001,20260205170702,V02-0006-H0002,$2.00,$4.00,Completed,1
TX00005,H0002,M001,20260205170702,V02-0007-H0002,$2.00,$4.00,Completed,Final
TX00006,H0001,M001,20260205191224,V10-0001-H0001,$10.00,$10.00,Completed,Final denomination used
TX00007,H0001,M001,20260205195130,V10-0002-H0001,$10.00,$10.00,Completed,Final denomination used
TX00008,H0017,M002,20260205200810,V10-0001-H0017,$10.00,$20.00,Completed,1
TX00008,H0017,M002,20260205200810,V10-0002-H0017,$10.00,$20.00,Completed,Final denomination used
TX00009,H0015,M002,20260211141238,V10-0001-H0015,$10.00,$15.00,Completed,1
TX00009,H0015,M002,20260211141238,V05-0004-H0015,$5.00,$15.00,Completed,Final denomination used
TX00010,H0018,M003,20260213204033,V10-0001-H0018,$10.00,$20.00,Completed,1
TX00010,H0018,M003,20260213204033,V10-0002-H0018,$10.00,$20.00,Completed,Final denomination used
TX00011,H0019,M001,20260213213352,V10-0001-H0019,$10.00,$20.00,Completed,1
TX00011,H0019,M001,20260213213352,V10-0002-H0019,$10.00,$20.00,Completed,Final denomination used
